drug,molecule_type_x,mechanism_of_action_list,action_type_list,indication_class_x,max_phase_x,oral_x,black_box_warning_x,first_approval_x,full_mwt_x,alogp_x,psa_x,hba_x,hbd_x,rtb_x,aromatic_rings_x,heavy_atoms_x,qed_weighted_x,best_pchembl,median_pchembl,best_standard_value,ac50_best_pchembl,ec50_best_pchembl,ic50_best_pchembl,kd_best_pchembl,ki_best_pchembl,molecule_type_y,indication_class_y,max_phase_y,oral_y,black_box_warning_y,first_approval_y,full_mwt_y,alogp_y,psa_y,hba_y,hbd_y,rtb_y,aromatic_rings_y,heavy_atoms_y,qed_weighted_y,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,direct_interaction_mean,disease_efficacy_mean,molecular_mechanism_mean,pchembl_mean,pchembl_median,pchembl_std,targets_n_unique_target_chembl_id,targets_n_unique_pref_name
AFATINIB,Small molecule,,,,4.0,1.0,0.0,2013.0,485.95,4.39,88.61,7.0,2.0,8.0,3.0,34.0,0.46,10.64,5.43,0.023,6.06,8.52,10.64,10.0,9.19,Small molecule,,4.0,1.0,0.0,2013.0,485.95,4.39,88.61,7.0,2.0,8.0,3.0,34.0,0.46,485.9,3.6,88.6,2.0,8.0,8.0,702.0,,,,5.917814269535675,5.43,1.5229890951872203,634.0,634.0
AVAGACESTAT,Small molecule,Gamma-secretase inhibitor,INHIBITOR,,2.0,0.0,0.0,,520.89,3.92,119.39,6.0,1.0,9.0,3.0,34.0,0.43,9.89,4.35,0.13,,,9.89,,,Small molecule,,2.0,0.0,0.0,,520.89,3.92,119.39,6.0,1.0,9.0,3.0,34.0,0.43,520.9,4.0,128.0,1.0,11.0,9.0,792.0,1.0,1.0,1.0,4.589903381642512,4.35,0.9870216011339439,201.0,201.0
AXITINIB,Small molecule,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,,4.0,1.0,0.0,2012.0,386.48,4.64,70.67,4.0,2.0,5.0,4.0,28.0,0.52,10.7,5.09,0.02,9.15,,10.7,9.31,9.7,Small molecule,,4.0,1.0,0.0,2012.0,386.48,4.64,70.67,4.0,2.0,5.0,4.0,28.0,0.52,386.5,4.2,96.0,2.0,4.0,5.0,557.0,1.0,1.0,1.0,5.393254086181278,5.09,1.267789000085187,578.0,578.0
AZD4547,Small molecule,,,,,0.0,0.0,,463.58,3.65,91.51,6.0,3.0,8.0,3.0,34.0,0.47,8.7,6.45,2.0,,,,8.7,,Small molecule,,,0.0,0.0,,463.58,3.65,91.51,6.0,3.0,8.0,3.0,34.0,0.47,463.6,3.9,91.5,3.0,6.0,8.0,622.0,,,,6.315263157894736,6.45,1.178008528647926,19.0,19.0
AZD6738,Small molecule,Serine-protein kinase ATR inhibitor,INHIBITOR,,3.0,0.0,0.0,,412.52,2.86,107.85,7.0,2.0,4.0,1.0,29.0,0.68,10.22,6.21,0.06,,,9.0,6.76,10.22,Small molecule,,3.0,0.0,0.0,,412.52,2.86,107.85,7.0,2.0,4.0,1.0,29.0,0.68,412.5,2.3,116.0,2.0,7.0,4.0,724.0,1.0,1.0,1.0,6.476060606060606,6.21,1.2323502429147815,17.0,17.0
AZD7762,Small molecule,Serine/threonine-protein kinase Chk1 inhibitor,INHIBITOR,,1.0,0.0,0.0,,362.43,2.53,96.25,4.0,4.0,4.0,2.0,25.0,0.67,10.44,6.13,0.03656,,8.0,10.44,8.3,8.44,Small molecule,,1.0,0.0,0.0,,362.43,2.53,96.25,4.0,4.0,4.0,2.0,25.0,0.67,362.4,2.3,124.0,4.0,5.0,4.0,495.0,1.0,1.0,1.0,6.127156105100465,6.13,0.7917820626451461,635.0,635.0
AZD8186,Small molecule,PI3-kinase p110-beta subunit inhibitor | PI3-kinase p110-delta subunit inhibitor,INHIBITOR,,1.0,0.0,0.0,,457.48,3.78,75.02,6.0,1.0,5.0,3.0,33.0,0.63,8.7,7.44,2.0,,,8.7,6.03,,Small molecule,,1.0,0.0,0.0,,457.48,3.78,75.02,6.0,1.0,5.0,3.0,33.0,0.63,457.5,3.0,71.1,1.0,8.0,5.0,748.0,1.0,1.0,1.0,7.039999999999998,7.44,1.2553997655840834,10.0,10.0
BMS-536924,Small molecule,,,,,0.0,0.0,,479.97,3.86,106.27,6.0,4.0,6.0,4.0,34.0,0.33,7.55,5.37,28.44,,,7.55,7.46,,Small molecule,,,0.0,0.0,,479.97,3.86,106.27,6.0,4.0,6.0,4.0,34.0,0.33,480.0,2.7,103.0,4.0,6.0,6.0,801.0,,,,5.437403846153846,5.37,0.8622851512365485,288.0,288.0
BOSUTINIB,Small molecule,Tyrosine-protein kinase ABL inhibitor | Tyrosine-protein kinase HCK inhibitor | Tyrosine-protein kinase Lyn inhibitor | Tyrosine-protein kinase SRC inhibitor,INHIBITOR,,4.0,1.0,0.0,2012.0,530.46,5.19,82.88,8.0,1.0,9.0,3.0,36.0,0.38,10.54,5.64,0.029,6.16,,9.52,10.54,7.9,Small molecule,,4.0,1.0,0.0,2012.0,530.46,5.19,82.88,8.0,1.0,9.0,3.0,36.0,0.38,530.4,5.4,82.9,1.0,8.0,9.0,734.0,1.0,1.0,1.0,5.959936974789915,5.64,1.384956807557431,705.0,705.0
CCT007093,Small molecule,,,,,0.0,0.0,,272.39,4.64,17.07,3.0,0.0,2.0,2.0,18.0,0.73,5.88,4.325,1308.79,,,5.88,,,Small molecule,,,0.0,0.0,,272.39,4.64,17.07,3.0,0.0,2.0,2.0,18.0,0.73,272.4,4.0,73.6,0.0,3.0,2.0,361.0,,,,4.376704545454545,4.325,0.35076835723718225,88.0,88.0
