feature,n_improve,n_worsen,n_nonmissing_total,coverage_rate_total,mean_improve,mean_worsen,median_improve,median_worsen,mean_diff_improve_minus_worsen,median_diff_improve_minus_worsen,cohen_d_improve_minus_worsen,abs_cohen_d,effect_direction,pvalue,single_feature_auc_abs,fdr_bh,minus_log10_p
kd_best_pchembl,13,11,24,0.6666666666666666,8.833076923076923,7.540909090909093,9.12,7.4,1.2921678321678307,1.7199999999999989,1.1055303939566603,1.1055303939566603,higher_in_improve,0.012728682084519901,0.8041958041958042,0.4569792920821222,1.8952165604508675
ac50_best_pchembl,6,4,10,0.2777777777777778,6.771666666666667,5.66,6.55,5.585,1.1116666666666672,0.9649999999999999,0.7987200616074919,0.7987200616074919,higher_in_improve,0.47619047619047616,0.6666666666666666,0.6170995088404809,0.3222192947339193
black_box_warning,20,16,36,1.0,0.05,0.3125,0.0,0.0,-0.2625,0.0,-0.7307354917987486,0.7307354917987486,higher_in_worsen,0.040758575408561946,0.63125,0.4569792920821222,1.389781003836677
Z_SCORE_abs_mean,20,16,36,1.0,0.787756461204584,0.8050194381402995,0.7942885214712221,0.8156331979323612,-0.017262976935715546,-0.021344676461139134,-0.6878632328516743,0.6878632328516743,higher_in_worsen,0.024805471018605443,0.721875,0.4569792920821222,1.6054525219501479
ic50_best_pchembl,19,15,34,0.9444444444444444,9.102105263157895,8.162666666666668,9.5,8.7,0.9394385964912271,0.8000000000000007,0.5922071987358397,0.5922071987358397,higher_in_improve,0.04569792920821222,0.7035087719298245,0.4569792920821222,1.340103479444873
Z_SCORE_mean,20,16,36,1.0,0.032075954078274585,0.05016153899973491,0.04119757962256309,0.04843289881210297,-0.018085584921460326,-0.007235319189539881,-0.5746632639235498,0.5746632639235498,higher_in_worsen,0.1565736254753674,0.640625,0.5693586380922451,0.8052813921834702
aromatic_rings,20,16,36,1.0,3.1,2.5,3.0,3.0,0.6000000000000001,0.0,0.5690426379538919,0.5690426379538919,higher_in_improve,0.09990901237490618,0.653125,0.5693586380922451,1.0003953341148448
act_pchembl_std,17,15,32,0.8888888888888888,1.1697852800598925,1.0055509257805972,1.1860817076318855,0.9682545358947443,0.16423435427929522,0.21782717173714117,0.5633752229133311,0.5633752229133311,higher_in_improve,0.13091338451881496,0.6588235294117647,0.5693586380922451,0.8830159491291212
TCGA_entropy,20,16,36,1.0,4.428018169497433,4.4252768063178,4.428528568367407,4.4261881158905565,0.0027413631796324722,0.002340452476850885,0.543573707785634,0.543573707785634,higher_in_improve,0.1564669504877465,0.640625,0.5693586380922451,0.8055773816738524
ec50_best_pchembl,12,8,20,0.5555555555555556,8.030833333333332,7.35375,7.98,7.46,0.6770833333333321,0.5200000000000005,0.5364928397514579,0.5364928397514579,higher_in_improve,0.374588026577107,0.625,0.6170995088404809,0.4264461086334935
best_pchembl,19,15,34,0.9444444444444444,9.249473684210527,8.391333333333334,9.89,8.7,0.8581403508771928,1.1900000000000013,0.5103920456851365,0.5103920456851365,higher_in_improve,0.09563785863486472,0.6701754385964912,0.5693586380922451,1.019370156452888
alogp_xlogp,20,16,36,1.0,3.815999999999999,2.90625,4.1,3.335,0.909749999999999,0.7649999999999997,0.4101714284200417,0.4101714284200417,higher_in_improve,0.2651102490499522,0.6109375,0.6170995088404809,0.5765734823016144
Y_median,20,16,36,1.0,1.9766775273711463,2.880058890012845,2.26678275,2.75766375,-0.9033813626416989,-0.4908809999999999,-0.3918935516362144,0.3918935516362144,higher_in_worsen,0.1565736254753674,0.640625,0.5693586380922451,0.8052813921834702
Y_mean,20,16,36,1.0,8910875750.00062,5.840526402046621e+21,2.93755626386709,2.8293532011914224,-5.84052640203771e+21,0.10820306267566737,-0.37638632635396624,0.37638632635396624,higher_in_worsen,0.4936796070723848,0.56875,0.6170995088404809,0.30655481225556225
Y_std,20,16,36,1.0,372448765271.3177,1.876254902988924e+23,1.5524091753707514,1.4605451823328757,-1.8762549029851996e+23,0.09186399303787574,-0.3763863263537933,0.3763863263537933,higher_in_worsen,0.3159451110985233,0.6,0.6170995088404809,0.5003883604752142
Z_SCORE_std,20,16,36,1.0,1.004867690652165,1.0125009148252129,1.008817967078219,1.0141507425474003,-0.007633224173047903,-0.005332775469181428,-0.33422023495855624,0.33422023495855624,higher_in_worsen,0.2720592897486446,0.609375,0.6170995088404809,0.5653364400661341
